# Alpha158 因子 IC 和 Rank IC 分析结果
分析时间: 2026-04-17 14:14:44.287603
时间范围: 2018-01-01 到 2018-12-31
股票池: csi300
因子数量: 158

## 每个因子的平均 IC 和 Rank IC (按平均 IC 排序)
           avg_ic  avg_rank_ic  rank_ic  rank_rank_ic
2018-07-02    0.035594
2018-07-03   -0.166070
2018-07-04   -0.065384
2018-07-05   -0.037107
2018-07-06   -0.062727
2018-07-09    0.139290
2018-07-10    0.000255
2018-07-11    0.013701
2018-07-12    0.241977
2018-07-13    0.196730
2018-07-16    0.124131
2018-07-17    0.006723
2018-07-18    0.225115
2018-07-19    0.147450
2018-07-20   -0.084919
2018-07-23   -0.159206
2018-07-24    0.181704
2018-07-25   -0.142805
2018-07-26   -0.195928
2018-07-27   -0.155367
2018-07-30    0.041332
2018-07-31   -0.019861
2018-08-01   -0.152031
2018-08-02   -0.157912
2018-08-03   -0.141344
2018-08-06    0.142745
2018-08-07    0.302612
2018-08-08    0.106887
2018-08-09    0.379859
2018-08-10   -0.096347
2018-08-13   -0.130760
2018-08-14   -0.078443
2018-08-15    0.236972
2018-08-16    0.201420
2018-08-17   -0.249441
2018-08-20   -0.076228
2018-08-21   -0.063354
2018-08-22    0.223696
2018-08-23   -0.000013
2018-08-24   -0.129022
2018-08-27   -0.099712
2018-08-28    0.001773
2018-08-29    0.196945
2018-08-30    0.098756
2018-08-31   -0.189025
2018-09-03   -0.057731
2018-09-04    0.071507
2018-09-05    0.180578
2018-09-06   -0.125450
2018-09-07   -0.221957
2018-09-10    0.030065
2018-09-11    0.099018
2018-09-12   -0.185578
2018-09-13   -0.043064
2018-09-14   -0.019298
2018-09-17   -0.085489
2018-09-18    0.005220
2018-09-19    0.055702
2018-09-20    0.048350
2018-09-21    0.054925
2018-09-25   -0.058146
2018-09-26    0.127134
2018-09-27    0.213290
2018-09-28    0.119317
2018-10-08    0.266420
2018-10-09   -0.046959
2018-10-10   -0.014146
2018-10-11    0.040012
2018-10-12    0.066926
2018-10-15    0.047386
2018-10-16    0.032630
2018-10-17    0.023325
2018-10-18    0.100930
2018-10-19    0.043005
2018-10-22   -0.097037
2018-10-23    0.372816
2018-10-24    0.244522
2018-10-25    0.066117
2018-10-26   -0.308572
2018-10-29    0.142485
2018-10-30   -0.031154
2018-10-31    0.461699
2018-11-01   -0.120002
2018-11-02   -0.198071
2018-11-05   -0.120129
2018-11-06    0.178639
2018-11-07   -0.212375
2018-11-08   -0.306616
2018-11-09    0.110247
2018-11-12    0.092388
2018-11-13    0.139487
2018-11-14   -0.115326
2018-11-15    0.033612
2018-11-16   -0.271633
2018-11-19    0.154172
2018-11-20    0.119719
2018-11-21    0.083822
2018-11-22   -0.138714
2018-11-23   -0.144554
2018-11-26    0.002954
2018-11-27   -0.278344
2018-11-28    0.192575
2018-11-29   -0.005367
2018-11-30    0.124960
2018-12-03   -0.045053
2018-12-04    0.035780
2018-12-05   -0.089939
2018-12-06    0.117355
2018-12-07    0.058794
2018-12-10   -0.169056
2018-12-11    0.025683
2018-12-12    0.008964
2018-12-13    0.102684
2018-12-14   -0.060287
2018-12-17    0.099957
2018-12-18    0.106774
2018-12-19    0.155109
2018-12-20    0.055468
2018-12-21    0.103552
2018-12-24    0.066445
2018-12-25    0.032279
2018-12-26    0.181443
2018-12-27    0.126226
2018-12-28    0.299091

## 前 3 个因子的 Rank IC 分析

### 因子: CNTP60 (排名: 1)
datetime
2018-01-02    0.045902
2018-01-03   -0.136773
2018-01-04    0.024006
2018-01-05    0.280969
2018-01-08    0.093478
2018-01-09   -0.083537
2018-01-10    0.088993
2018-01-11    0.167849
2018-01-12    0.019678
2018-01-15   -0.411150
2018-01-16   -0.087574
2018-01-17   -0.170581
2018-01-18    0.243207
2018-01-19    0.095811
2018-01-22   -0.192650
2018-01-23    0.033888
2018-01-24    0.195938
2018-01-25   -0.006964
2018-01-26   -0.101521
2018-01-29    0.336248
2018-01-30    0.101616
2018-01-31    0.247021
2018-02-01    0.053501
2018-02-02   -0.048396
2018-02-05   -0.379669
2018-02-06   -0.238571
2018-02-07   -0.121280
2018-02-08    0.175678
2018-02-09    0.184711
2018-02-12    0.212735
2018-02-13    0.302752
2018-02-14    0.022637
2018-02-22   -0.115549
2018-02-23   -0.331028
2018-02-26   -0.038244
2018-02-27   -0.020969
2018-02-28   -0.003538
2018-03-01    0.041294
2018-03-02    0.022451
2018-03-05   -0.119110
2018-03-06    0.133738
2018-03-07    0.018021
2018-03-08   -0.042271
2018-03-09    0.007249
